canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,7.511449283499555,30.800000000000036,1,1,,7.511449283499555,7.511449283499555,CHEMBL4871192,CHEMBL4871192,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,7.787812395596042,16.30000000000001,1,1,,7.787812395596042,7.787812395596042,CHEMBL4869409,CHEMBL4869409,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,6.982966660701219,104.00000000000009,0,1,,6.982966660701219,6.982966660701219,CHEMBL4873984,CHEMBL4873984,1
C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,5.999132278468773,1002.0000000000006,0,1,,5.999132278468773,5.999132278468773,CHEMBL5962946,CHEMBL5962946,1
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,9.494850021680094,0.32000000000000023,1,1,,9.494850021680094,9.494850021680094,CHEMBL5187762,CHEMBL5187762,1
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,6.810619412341813,154.66091943344972,0,4,0.8227768063725609,6.060480747381382,8.0,CHEMBL5567954,CHEMBL5567954,1
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.221848749616356,0.6000000000000003,1,1,,9.221848749616356,9.221848749616356,CHEMBL378144,CHEMBL378144,1
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.795880017344075,1.6000000000000008,1,1,,8.795880017344075,8.795880017344075,CHEMBL202360,CHEMBL202360,1
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,6.6777807052660805,210.0000000000001,0,1,,6.6777807052660805,6.6777807052660805,CHEMBL5400371,CHEMBL5400371,1
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.485452247339714,32.700000000000024,1,1,,7.485452247339714,7.485452247339714,CHEMBL590558,CHEMBL590558,1
