molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL483525,7,2024,5.474518838326136,30,60,False
CHEMBL521470,7,2024,5.423995292073204,34,60,False
CHEMBL242741,7,2024,5.5034498295784,29,60,False
CHEMBL484121,7,2024,5.802074116600884,11,60,False
CHEMBL484321,7,2024,5.802074116600884,12,60,False
CHEMBL521472,7,2024,5.236604483948813,47,60,False
CHEMBL518986,7,2024,5.473156480683221,31,60,False
CHEMBL490266,7,2024,5.751874514155918,15,60,False
CHEMBL490267,7,2024,5.751874514155918,16,60,False
CHEMBL483526,7,2024,5.380130741596222,38,60,False
CHEMBL522082,7,2024,5.222946803569794,50,60,False
CHEMBL490773,7,2024,5.158391785621643,53,60,False
CHEMBL521184,7,2024,5.512843398173651,27,60,False
CHEMBL150,7,2024,5.247565214660432,46,60,False
CHEMBL484119,7,2024,5.846442704730564,9,60,False
CHEMBL484316,7,2024,5.846442704730564,10,60,False
CHEMBL490980,7,2024,5.102840709156461,55,60,False
CHEMBL443171,7,2024,5.083040018611484,57,60,False
CHEMBL519982,7,2024,5.257514322201411,44,60,False
CHEMBL28,7,2024,5.235521572457419,48,60,False
CHEMBL2315699,7,2024,5.849941161208683,7,60,False
CHEMBL2315697,7,2024,5.849941161208683,8,60,False
CHEMBL275638,7,2024,5.776876666545868,13,60,False
CHEMBL483830,7,2024,5.340726764731937,39,60,False
CHEMBL2315410,7,2024,5.754284359349145,14,60,False
CHEMBL485258,7,2024,5.332727010250092,42,60,False
CHEMBL519395,7,2024,5.552769695123037,24,60,False
CHEMBL483831,7,2024,5.380749629073673,37,60,False
CHEMBL453504,7,2024,5.206045694510141,51,60,False
CHEMBL485485,7,2024,5.28685940000746,43,60,False
CHEMBL463054,7,2024,5.338705706437429,40,60,False
CHEMBL2315701,7,2024,5.507576618989309,28,60,False
CHEMBL441343,7,2024,5.103591532707214,54,60,False
CHEMBL2315698,7,2024,5.566040267944336,22,60,False
CHEMBL2315696,7,2024,5.566040267944336,23,60,False
CHEMBL2315409,7,2024,5.472541737159093,32,60,False
CHEMBL489146,7,2024,5.09291095299191,56,60,False
CHEMBL17329,7,2024,5.1597194866604275,52,60,False
CHEMBL556684,7,2024,5.254986971060435,45,60,False
CHEMBL483531,7,2024,4.912945955991745,58,60,False
CHEMBL483532,7,2024,4.4642500681347315,59,60,False
CHEMBL450484,7,2024,4.061602098941803,60,60,False
CHEMBL2316916,7,777,6.540319295459323,1,60,False
CHEMBL5614250,7,777,5.967428384621938,3,60,False
CHEMBL5564149,7,777,6.164209858973821,2,60,False
CHEMBL13983,7,777,5.778449404001236,9,60,False
CHEMBL554993,7,777,5.759380702177683,10,60,False
CHEMBL512054,7,777,5.871387025912603,5,60,False
CHEMBL131921,7,777,5.477140590349833,24,60,False
CHEMBL2315700,7,777,5.896614237626394,4,60,False
CHEMBL4531006,7,777,5.841765645572117,6,60,False
CHEMBL241609,7,777,5.370084135135015,34,60,False
CHEMBL485475,7,777,5.507499296002918,23,60,False
CHEMBL520144,7,777,5.633786342938741,20,60,False
CHEMBL491174,7,777,5.615099958578745,21,60,False
CHEMBL243664,7,777,5.434301884969075,27,60,False
CHEMBL4539558,7,777,5.756854396888188,11,60,False
CHEMBL490960,7,777,5.374526857932409,33,60,False
CHEMBL483428,7,777,5.355324606498082,37,60,False
CHEMBL489139,7,777,5.139821575482686,52,60,False
CHEMBL483525,7,777,5.541225576003392,22,60,False
CHEMBL521470,7,777,5.378104177051121,32,60,False
CHEMBL242741,7,777,5.414998369216919,30,60,False
CHEMBL484121,7,777,5.679365260865953,14,60,False
CHEMBL484321,7,777,5.679365260865953,15,60,False
CHEMBL521472,7,777,5.205292243560155,50,60,False
CHEMBL518986,7,777,5.407762902483108,31,60,False
CHEMBL490266,7,777,5.677195211516486,16,60,False
CHEMBL490267,7,777,5.677195211516486,17,60,False
CHEMBL483526,7,777,5.41920746366183,29,60,False
CHEMBL522082,7,777,5.23621393998464,45,60,False
CHEMBL490773,7,777,5.216063743034999,49,60,False
CHEMBL521184,7,777,5.4248313080886055,28,60,False
CHEMBL150,7,777,5.223066428899765,48,60,False
CHEMBL484119,7,777,5.6584479681650794,18,60,False
CHEMBL484316,7,777,5.6584479681650794,19,60,False
